Prefecture,Category,Item,Value,Date,Primary_source,Secondary_source
Ehime,Population,Female,719,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kochi,Population,Female,377,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukuoka,Population,Female,2692,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saga,Population,Female,434,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagasaki,Population,Female,718,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kumamoto,Population,Female,933,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Oita,Population,Female,607,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Miyazaki,Population,Female,577,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagoshima,Population,Female,863,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okinawa,Population,Female,734,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hokkaido,Area,Total,83424,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Aomori,Area,Total,9646,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Iwate,Area,Total,15275,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Miyagi,Area,Total,7282,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Akita,Area,Total,11638,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Yamagata,Area,Total,9323,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Fukushima,Area,Total,13784,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Ibaraki,Area,Total,6097,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Tochigi,Area,Total,6408,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Gunma,Area,Total,6362,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Saitama,Area,Total,3798,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Chiba,Area,Total,5158,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Tokyo,Area,Total,2191,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kanagawa,Area,Total,2416,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Niigata,Area,Total,12584,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Toyama,Area,Total,4248,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Ishikawa,Area,Total,4186,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Fukui,Area,Total,4190,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Yamanashi,Area,Total,4465,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Nagano,Area,Total,13562,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Gifu,Area,Total,10621,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Shizuoka,Area,Total,7777,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Aichi,Area,Total,5172,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Mie,Area,Total,5774,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Shiga,Area,Total,4017,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kyoto,Area,Total,4612,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Osaka,Area,Total,1905,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Hyogo,Area,Total,8401,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Nara,Area,Total,3691,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Wakayama,Area,Total,4725,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Tottori,Area,Total,3507,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Shimane,Area,Total,6708,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Okayama,Area,Total,7115,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Hiroshima,Area,Total,8479,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Yamaguchi,Area,Total,6112,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Tokushima,Area,Total,4147,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kagawa,Area,Total,1877,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Ehime,Area,Total,5676,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kochi,Area,Total,7104,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Fukuoka,Area,Total,4986,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Saga,Area,Total,2441,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Nagasaki,Area,Total,4132,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kumamoto,Area,Total,7409,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Oita,Area,Total,6341,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Miyazaki,Area,Total,7735,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Kagoshima,Area,Total,9187,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Okinawa,Area,Total,2281,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Hokkaido,Area,Habitable,22373,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Aomori,Area,Habitable,3230,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
Iwate,Area,Habitable,3714,2015-10-01,,https://ja.wikipedia.org/wiki/%E9%83%BD%E9%81%93%E5%BA%9C%E7%9C%8C%E3%81%AE%E9%9D%A2%E7%A9%8D%E4%B8%80%E8%A6%A7#cite_note-2
